-1,1.1,2.4,2.5,0.5,-3.8,81.8,0,0.5,0
-1.9,2.3,0,2.3,0.4,-5.6,77,0,0.7,0
-3.8,2,0,1.7,0.2,-7.8,76.3,4.2,0.3,0
-0.6,6,0.1,2.3,0.6,-4.7,76.3,3.5,0.6,0
-0.1,4.3,0,2.5,0.4,-4,76.5,2.5,0.9,0
-0.5,5.6,0,2.3,0.6,-6,70.5,6.7,1.1,0
-2.9,3.6,0,1.3,0.2,-9,70,3.9,0.1,0
-0.7,4.6,2.3,1.5,0.1,-3.8,79.8,0.5,0.3,0
2.8,8.2,0,1.5,0.2,-1.2,77.5,4.5,1.3,0
1.6,2.9,19.8,2.3,0.3,0,89.3,0,0.6,0
2.7,5,0.7,4.5,2.5,-2.1,72,4.5,1.4,0
0,3.8,0,4.7,1.6,-10.5,52.8,8.8,1.8,0
-1.6,6.1,0,1.2,0.1,-10.9,58.8,8.5,-0.5,0
3,8.8,0,2,0.3,-4.8,60.5,0,2.3,0
3.8,6.6,0.3,2,0.3,-0.2,76,0,3.1,0
4.8,12.4,0,2.3,0.2,-0.4,74,6,5.1,0
3.6,12,0,2.2,0.2,-2.7,68.3,6.5,4.4,0
5.5,7.9,15,6,1.1,2.4,81.3,0,4.8,0
6.9,9.7,10.5,6.8,2.5,4.2,83.3,0,5.9,0
3.2,4.3,0.1,5,2.2,-1.5,71,0,3.8,0
5.5,11.1,0,5,1.2,-1.1,66,2.2,4.9,0
7,8.1,19.6,3.5,1.7,3.4,78.3,0,6,0
6.5,7.6,8.1,3.5,1.6,4,84.3,0,6.3,0
4.7,7.4,0,3.7,0.9,0.8,76.5,0,6,0
1,4,0.4,4,1.8,-3.8,71.5,0.8,4.3,0
-0.7,6.4,0,3.7,0.5,-5.1,71,7.7,3.4,0
1.2,10.1,0,2.5,0.3,-4.8,67.8,9.3,3.6,0
4.3,12.8,0,5.3,1.2,-3.5,63,8.6,6,0
4.2,11.2,0,4.5,1.2,-2.6,66.3,6.2,5.6,0
