14.3,21.1,0,4.5,1.8,5.2,56.1,8,16.2,0.1
2.5,7.7,0.5,6.4,3.2,-6.1,56.5,7.9,3.1,0.2
6.9,14.6,0,3.6,1.2,-8.3,36.4,11.3,6.6,0.06
8.8,17.9,0,3.9,1.5,-5.3,40,11.5,8.3,1.5
12.8,18.9,0,3.4,1.4,-0.7,41.6,8.5,12.4,0.05
13.8,20.8,0,5,2,-1,40.6,4.9,12,0.06
-4.2,0.5,0,2.7,1.1,-16.4,41.5,8.5,-2.4,0.01
-0.6,5.9,0,2.8,1,-10.1,51.3,7.4,-1.4,0.05
8.4,13.7,0,4.7,1.6,-3.7,43.8,7,8.8,0.03
7.1,12.2,0,2.7,1.1,-6.4,43,10.1,9.6,0.09
8.9,16.7,0,2.8,0.9,-8,34,11.2,9.3,0.03
14.7,23.1,3.8,4.5,1.3,-3.2,37,6.5,13.5,0.05
4,10.9,0,2.7,0.7,-7.2,48.1,10.1,2.5,0.1
8.6,16,0,3.8,1.1,-8.5,32.4,7.8,8.1,0.03
14.9,21.1,0,4.1,1.7,-10.5,21.1,11,15.4,0.2
0.9,7.1,0,1.4,0.4,-10,45.1,4.8,0.6,0.5
10.6,17.7,0,2.8,1,-0.7,51.4,7.9,10.5,0.3
20.1,28.5,0,3.5,1,1.4,36.8,12.1,21.1,0.5
21.9,29.4,0,8.7,4.4,-5.1,17.3,12.3,23.9,45
5.6,8.2,0,6.3,3.9,-8.6,33.8,8.7,5.7,0.3
0.7,4.6,0,5.7,2.4,-9.4,45.8,9.4,4,0.3
6.3,11.3,0,9,4.1,-4.6,45,4.2,6.8,0.1
10,16.9,0,9.3,3,-1.8,47.8,10.5,13.4,0.7
19.6,25.1,0,7.5,5,0,27.5,11.2,20.8,1.7
15.5,23.4,0,5.7,2.2,5.9,55.3,10.1,20,2.5
16.5,24.1,0,6.7,2.7,2.8,49,10.8,20.4,0.3
19.6,23.2,0,5.3,2.5,1.1,29,10.1,22.7,0.1
15.6,19.8,0,4.3,1.6,6.6,56.5,11.3,20.2,0.1
12.9,16.9,0,5.3,1.3,7.6,71.5,0,16.1,0.3
18.5,25.7,0,9.7,3.3,2.3,37.3,10.7,22,4.5
5.1,12.2,0,7.7,3.5,-10.6,29.3,9.1,5.9,0.1
1,7.8,0,4.7,2.7,-5,65.5,8.4,1.1,0.2
8.2,14.8,0,7.7,3.3,-7.2,33.8,8.9,8.2,4.9
9.1,14,0,4.3,1.9,0.7,56,10.2,11.1,0.1
8.4,15.5,0,7.7,3.7,-6.5,34,11.4,10.3,6.3
13.9,21.1,0,7.3,4.4,-5.4,25.8,11.7,15.9,2
15.4,23.9,0,7.7,2.3,3,45.3,8.8,16.5,0.3
13.6,19,0,6.3,2.3,7.2,67.8,11.1,16.9,0.2
17.4,21.1,0,8,3,2,36.3,4.8,18.1,7.2
16.7,23.3,0,4.3,2.1,1.7,37.3,6.5,16.4,0.05
19.4,23.2,0,4.3,1.5,7,44.3,4,21,0.3
10.1,14.2,0,12,5.6,-1.3,45.8,9.2,8.7,1
8,11,0,3.7,1.4,-7.1,34,10.4,13,2
24.3,31.7,0,4.3,1.8,8.1,36.3,11.6,26.5,1
7.5,15,0,5.3,2.4,-9.4,32.4,9.5,5.1,1.8
11.4,16.5,0,6.5,3,-2.9,37.4,10.2,10.1,0.07
4.2,8.6,0,10.3,4,-8.8,39,11,7.2,5.78
20.5,27.1,0,13.7,5.4,-0.4,25.3,9.9,19.6,301
18.5,26.1,0,4.7,1.7,11.9,69.5,11.3,21.8,0.1
-1.6,1.2,0,8.3,4,-16.7,31.5,6.4,-1.2,0.3
-1.6,4.3,0,7.9,4.1,-16.5,31.6,9.6,-1.3,0.3
