9.3,11.9,0,4.9,2.2,62.8,3.2,8.5,3
-1.2,4.9,0,7.4,3.6,56,9.4,1.6,0.8
15.8,29.5,0,5.7,3.1,49.5,9.8,16.4,10.5
14.8,24.1,0,6.5,3.3,36.3,10.6,16.5,5
14.5,25.4,0,5,3.3,53,10.6,17.4,0.5
10.4,17.4,0,12.7,4.2,43.3,8.3,11.7,1.2
15.3,25.3,0,6,1.7,65.8,8.8,17.9,0.7
6.8,18.9,7.5,3.3,1.5,76,7.4,7.6,0.05
12.4,21.2,0,5.5,2.2,44,10.4,13.2,155.5
6.4,16.6,0,3.5,1.1,71.5,7.6,10.8,0.5
-6.9,0.6,0,5.2,1.5,60.8,8.2,-2.7,2.5
8.4,18.8,0.5,4.2,1.2,36,7.7,9.9,0.5
12.4,21.4,0,5.2,1.6,30.1,6.6,14.4,0.7
10,19.7,0,4.6,1.8,33.6,7.9,11.7,0.8
13,22.4,0,6.1,2.4,31.1,9,15.9,0.2
19.1,26.5,0,5.2,2.2,31,5.3,19.6,1.4
9.5,17.6,0,5.3,2.2,52.6,9.4,13.5,2
14.6,23.8,0,4,1.8,59.8,9.6,18.4,0.3
-1,7,0,4.5,1.4,69.6,7.5,-1.9,0.5
4.9,10.9,0,4.7,1.8,34.9,7.6,3.2,0.4
-0.9,3.3,0,7.2,3.3,36.6,8.8,-0.3,0.3
6.1,18.6,0,6.1,1.7,56.3,8.8,5,0
5.9,16.5,0,3.6,1.1,49.4,8.6,5.1,2
10.7,19.4,0,10.3,2.9,42.5,9.9,11.5,0.7
-1.6,2,0,9.5,2.6,40,7.5,-0.7,1
-7.5,0.5,0,6,1.8,60.5,7.9,-6.2,2
-0.7,3.3,0,6.6,1.9,54.9,2.2,0.2,2.5
-2.2,2.4,0,9.1,3.1,43.3,7.1,-0.8,0.5
2.8,11.5,0,5.8,1.2,67.8,6.7,0,0.3
12,22,0,4.7,1.9,43.4,10.4,16.5,0.01
14.9,21,0,8.3,4.7,32.3,10.2,17.6,1.8
13.6,23.8,0,3.4,1,38.4,10.8,17.3,2
13.4,22.7,0,5.9,2.4,58.9,10.7,18.6,0.2
17.6,27.5,0,5.1,2,43.6,11.4,23.3,1
21.8,30.6,0,4.1,1.4,43,11.8,29.8,0.5
2.4,7.9,0,4.3,1.1,60.3,2.8,-1.5,0.5
10.2,15.3,0,7,3.2,36.1,8.2,9.1,0.3
11.4,23.7,0,3.6,1.4,35.9,10.2,13.1,1.5
0,3.4,3.5,4.6,1.4,69.9,0,-2.3,1
15.4,24.6,0,5.8,2.2,45.1,9.2,18.1,0.3
0.1,4,0,5.2,2.3,71.4,1,-0.9,0.2
8.1,16,0,6.6,3.3,41,10.2,8.9,2
8.7,17.8,0,7.1,2.9,36.5,10.2,10,1
14.7,23,0,6.1,2,41,8.6,15.1,43.2
17.6,28.8,0,4.4,1.2,40.8,9.5,18,1
23,28.6,0,5.5,2.6,68.6,10.2,22.9,0.02
13.6,21,0,7,2.7,43.4,10.5,12.5,0.5
-0.8,8,0,4.5,1.2,60.8,7.4,0.9,0.5
3.1,12.3,0,4.8,1,61.6,6.9,2.2,0.1
2.4,5.9,1.5,6.9,3.1,60.4,4.9,2.4,0.1
12.5,20,0,6.6,2,47.6,8.8,12.4,1
19.9,23.3,0,5.5,2.7,62,1.3,16.9,0.1
13.7,21.7,0,5.5,1.6,63.1,7.6,14.7,0.1
2.6,7.8,6,6.5,2.6,69.9,2.1,2.6,0.23
4,9.5,0,5.9,2,41.4,8.3,1.8,0.5
2.8,13.1,0,8.4,2.7,67.1,4.5,2.9,0.3
14.5,23.7,0,6.2,2.6,32.6,10.8,15.2,0.7
17,27.2,0,6.3,2.4,56.8,9.8,18.9,0.2
13.9,19.7,7,7.1,3.8,59.1,2.9,16.8,0.2
15.3,25.4,0,5.7,1.9,46,9.9,16.2,1
15.8,24.5,0,4,1.6,38.9,0.5,15,0.1
20.5,31.2,0,3.6,1.2,58.5,9.5,21.1,0.1
11.3,22.2,0,4.1,1.2,73.9,7.1,14.7,0.5
14.5,18.3,0,6.2,3.3,64.8,0.4,13.4,0.05
1.5,9,0,4,1.2,67.4,7.3,3.4,1.6
13.5,22.1,0,6.4,2,42.6,4.9,16.7,0.1
10.6,16.4,1.5,7.7,4.1,52.1,7.4,15.1,0.1
16.4,27.3,0,4.5,1.5,54.8,9.1,20.6,0.2
14,21.8,0,5.5,1.9,55.1,4.3,20.4,0.3
21.9,32.4,0,4.6,2,49.3,11.6,31.8,0.1
1,9.8,3,6.2,3.4,40.9,5.3,1.5,0.3
-0.1,4,0,4.5,2.1,55.3,6.6,1.5,0.04
10.1,20.1,0,5.5,2.6,54.1,10.4,15.6,0.3
9.9,15.2,0,5.9,3.2,45.5,8.4,10.4,0.01
0.6,4.8,0,5.6,2.9,30.4,7.5,1.7,0.3
13.2,22.2,0,3.8,1.1,44.8,7.7,15.5,0.05
14.7,23.4,19,4.8,2.1,64.4,4.3,17.5,0.03
22,30.5,0,4.9,1.4,57.1,12,28.1,0.05
