-1.5,0,10.5,6.3,3,86.8,0,-0.3,0
-0.8,4.7,0,6.8,2.1,56.5,8.3,-0.5,0
-0.3,3.4,1.2,10,3.4,46.8,6.7,-0.2,0
0.1,1.2,26.4,3.7,1.8,94.5,0,0.2,0
0.7,3.3,1.2,6.3,2.1,87.5,3.1,0.2,0
2.3,8,0,6.3,2.2,46.8,8.7,0.1,0
0.5,4,0,6.7,3,65,6.4,-0.2,0
0.8,4.2,0.1,6.7,2.6,84.5,1.4,0.6,0
3.2,8.7,0,4,2.1,67.5,8.5,2.4,0
3.1,4.7,7.9,3.2,1.7,83.5,0,1.2,0
4.2,6.6,0.1,10,3.3,51.8,7.1,2.1,0
1,4.7,0,7.7,3.4,26,9.7,-0.4,0
0.7,5.4,0,4.2,2.3,40.3,9.4,1.9,0
3.3,6,0.1,9.3,2.7,81.3,0,1.9,0
3.2,5.5,1.9,3,1.7,89.8,0,1.7,0
3.7,6.4,0,8,2.6,87.3,6.4,3.3,0
5.1,11.2,0,3.3,1.6,69,8.4,4.7,0
5.3,6.6,22.9,4.2,1.7,91.3,0,3.9,0
5.4,7.1,10,12.7,3.3,94,0,4.3,0
6.8,11.3,0,9,4.7,51,9.8,6,0
5.9,9.4,0,5.5,2.1,81,6.3,5.6,0
6.1,7.3,18.8,7.5,2.3,93.5,0,5.7,0
4.8,6.3,41.9,10,4.6,90.5,0,4.8,0
2.6,4.7,3.8,6.7,2.3,84,0,3.4,0
1.8,3.1,1.8,8.7,2.9,91,0,3.2,0
0.5,2,8.2,5.5,1.8,95.3,0,0.4,0
1.1,3.1,13.8,3.2,1.2,95,0,0.2,0
2.2,5.5,0,7.3,2.7,88.5,8.9,3.8,0
3.5,6.5,2.5,8.5,2.9,89.3,2,4.5,0
4.1,7,4.5,5.3,2.6,81.5,5.1,6.5,0
3.6,8.3,0,4.7,1.8,79.5,4.3,5.1,0
3.5,8.2,0,9.2,2.4,79.5,3.8,3.6,0
4.1,8.3,0,5.3,2,61.8,9.5,4.9,0
7,12.2,3.5,18,3.6,39.3,9.7,5.8,0
2,5.4,2.2,11,4.5,55.8,9.4,3,0
5.2,9,0,6.7,3.4,34.5,10.4,4.5,0
9.7,14.9,0,8,3,26,9.8,7.3,0
11.8,17.9,0,6.7,3.2,50.3,9.8,10.4,0
9.1,13.1,11.2,6.3,2.2,72.8,0,8.3,0
5.4,8.6,13.9,10.3,3.7,80.5,6.1,8.3,0
6.2,12.2,0,5.2,2.8,55,10.1,7.5,0
7,10.8,0.1,6.3,2.1,73.8,0,6.7,0
8.7,13,0,7.7,3.8,42.3,8.8,8.6,0
6.2,10,0,8.7,3.1,58.8,8.9,7.1,0
6.8,9.8,0,7.7,2.6,40.3,0.3,4.8,0
4.6,9,1.6,9,3.7,60,8.2,5.8,0
10.2,15.3,0,10.7,5.1,24.8,6.9,5.8,0
9.4,13,0,11.3,3,68.3,9.1,10,0
7.2,9.2,0,9.3,3.6,82.3,0,7.6,0
8.8,11.4,0,6.3,2,88.3,5.7,11.1,0
8.9,11.5,8.5,8.7,3.6,94,0.4,9.6,0
4.9,6.6,8.3,12,8.2,71.8,0,4.7,0
5.3,8.4,0,8,4.1,46.8,7.5,6.7,0
5.5,11.6,0,6.7,2.6,64.5,11,8.1,0
8.4,11.8,0,4.2,1.8,73.5,2.5,8.7,0
8,11.2,27.5,5.3,2,91.3,0,8.1,0
8.3,10.8,3,7.3,2.9,91.3,3.6,9.8,0
8.7,10.8,0,3.3,1.8,84.5,0,9.9,0
11.5,15.2,0,7,2.7,70.3,10.4,13.6,0
12.4,16.7,0,8,2.4,66.3,9.9,13.8,0
10.7,12.9,0,10,3.9,83.8,9.4,12.9,0
14.5,18.7,0,13.5,4.2,48.8,0.3,12,0
