-1,1.1,2.4,2.5,0.5,81.8,0,0.5,0
-1.9,2.3,0,2.3,0.4,77,0,0.7,0
-3.8,2,0,1.7,0.2,76.3,4.2,0.3,0
-0.6,6,0.1,2.3,0.6,76.3,3.5,0.6,0
-0.1,4.3,0,2.5,0.4,76.5,2.5,0.9,0
-0.5,5.6,0,2.3,0.6,70.5,6.7,1.1,0
-2.9,3.6,0,1.3,0.2,70,3.9,0.1,0
-0.7,4.6,2.3,1.5,0.1,79.8,0.5,0.3,0
2.8,8.2,0,1.5,0.2,77.5,4.5,1.3,0
1.6,2.9,19.8,2.3,0.3,89.3,0,0.6,0
2.7,5,0.7,4.5,2.5,72,4.5,1.4,0
0,3.8,0,4.7,1.6,52.8,8.8,1.8,0
-1.6,6.1,0,1.2,0.1,58.8,8.5,-0.5,0
3,8.8,0,2,0.3,60.5,0,2.3,0
3.8,6.6,0.3,2,0.3,76,0,3.1,0
4.8,12.4,0,2.3,0.2,74,6,5.1,0
3.6,12,0,2.2,0.2,68.3,6.5,4.4,0
5.5,7.9,15,6,1.1,81.3,0,4.8,0
6.9,9.7,10.5,6.8,2.5,83.3,0,5.9,0
3.2,4.3,0.1,5,2.2,71,0,3.8,0
5.5,11.1,0,5,1.2,66,2.2,4.9,0
7,8.1,19.6,3.5,1.7,78.3,0,6,0
6.5,7.6,8.1,3.5,1.6,84.3,0,6.3,0
4.7,7.4,0,3.7,0.9,76.5,0,6,0
1,4,0.4,4,1.8,71.5,0.8,4.3,0
-0.7,6.4,0,3.7,0.5,71,7.7,3.4,0
1.2,10.1,0,2.5,0.3,67.8,9.3,3.6,0
4.3,12.8,0,5.3,1.2,63,8.6,6,0
4.2,11.2,0,4.5,1.2,66.3,6.2,5.6,0
6.1,11,0,4,1.1,66.3,4.7,7.4,0
5.1,11.8,0,4.8,1.2,66,4.7,6.5,0
3.1,9.2,0,4.2,1.3,74.8,5.8,5.9,0
2.3,9.4,0,5.7,1.5,68.8,7.5,5.2,0
4.3,10.4,0,7.3,2.3,63,7.2,5.8,0
3.8,9,0.3,5.2,1.4,55.3,10,7.4,0
1.8,10.4,0,4.3,1,57,9.6,5.1,0
3.1,11.6,0,3.8,0.8,57,9.1,5.9,0
5.8,15.4,0,3.2,0.6,68.5,9,7.8,0
5.4,9.8,20.5,7.7,1.2,89.8,0,5.7,0
4.6,8.7,7,8.3,2.3,71.3,3.4,7.2,0
3.6,12.7,0,2.8,0.5,63.8,8.1,7.1,0
4.3,7.1,6.3,2.3,0.3,82,0,6.1,0
5.9,9.2,0,6.3,2.2,68.5,2.2,7.4,0
5.6,11.6,0,5.7,1.8,53.8,7.8,8.7,0
1.9,7.7,2.3,7,0.8,72.5,0,4.4,0
3.6,9.9,0,4.3,1,62.3,8.6,7.4,0
4.7,13,0,6.3,1.7,55,9.7,7.4,0
8.5,15.4,0,4.3,1.3,52,8.4,11.1,0
8.6,19,0,3.2,0.6,60.5,7.5,11.2,0
13.1,20.2,0,3.8,1,49.8,7.8,14.1,0
13.1,19,1.9,3.7,0.6,64.3,0,12.7,0
8,12.9,8.6,6.5,3.3,64.3,0,9.1,0
6.5,10.6,0,6.2,3.1,27.8,9.2,9.4,0
6,16.6,0,3.2,0.6,48.5,10.6,9.7,0
7.2,13.6,1.8,3.3,0.7,69.3,1.2,9,0
7.3,8.6,26.7,3.7,1.8,94.3,0,8.3,0
8,10.4,8.8,3.3,1.2,86.3,0,8.6,0
8.6,11.8,0.2,3,0.4,82,0,9.2,0
10.5,16,1.1,3,0.8,78.3,4.6,13.2,0
10,18.6,0,4.3,1.1,75.8,7.1,12.2,0
11.7,21.8,0,3.7,0.7,70.3,7.3,13.4,0
10.6,16.5,0,5,1.8,75.8,0,11.4,0
5,9.4,0,7.7,3.3,50.8,5.1,8.5,0
7,14.3,0,8.3,2.7,48,11.4,10.2,0
9.6,17.2,0,5.5,1.6,57.3,8.6,12.4,0
7,10.6,13.8,8,1.9,89.3,0,8.5,0
8.6,13.6,0,10.2,5,34.8,9.8,9.6,0
10.7,20.6,0,6.7,1.4,61.8,10.7,12.5,0
13.8,23.9,0,4,0.7,52.8,10.3,15.2,0
15.3,25.6,0,5.8,1.7,47,8.5,15.2,0
15.8,18,14.8,5,2.1,79,0,14.1,0
9.3,17.4,3.1,6.7,2.7,92.5,0,10.9,0
5.4,6.2,10.6,5.8,1.9,87,0,8,0
7.5,10.8,0.2,3,0.6,85.8,0,10.3,0
8.1,12.4,4.1,3.8,1.4,69.5,2,10.5,0
8.8,14.4,0,3,0.9,58.3,7.6,12.2,0
10.1,16.8,0,4,0.9,60.8,9.9,14.5,0
11.6,20.2,0,4.3,1.3,59.5,9,14.8,0
11.6,14,0.4,3,1,67.3,0.7,12,0
11.9,20.4,0,3.8,0.7,70.5,8.3,14.7,0
11.4,15.8,3.6,4.3,0.9,78.3,0,12.5,0
6.7,12.2,4.5,5,1.1,92,1.2,9.6,0
8.5,16.4,0,9.2,2.2,64.5,10.9,12.8,0
11.2,18.4,0,7.3,3.2,55.5,9.4,12.8,0
12.8,17.2,0,6.7,3.5,50.3,10.8,16,0
12,22.9,0,6.3,1.2,61.8,8.9,15.1,0
13.8,17.2,21.8,6,1.6,81.3,1.1,14.1,0
14.8,24.6,0,2.8,0.5,63,8.9,17.6,0
17,27.5,0,3,0.6,49.8,12.3,19.6,0
-3.9,3,0,3.5,0.9,61.8,8.1,-1.9,0
-4.8,2.8,0,2.8,0.3,64.5,7.9,-2,0
-4.3,3.3,0,3,0.4,64.5,7.2,-1.7,0
-2.2,2,3.3,5.5,1.4,61.3,4.6,-1,0
-6.4,1.7,0,3.5,0.5,63.8,8.6,-1.8,0
-3.1,4.1,0,2.2,0.1,71.3,3.5,-1.1,0
0.9,5.4,3.4,4.7,1,81.3,0,0.4,0
-0.2,5,0,3.5,0.7,59,8.4,0.5,0
0.6,9.3,3.6,5.3,0.5,62.5,5.2,0.3,0
2,4.9,5.4,1.5,0.1,84.5,0,0.6,0
1.6,3.6,0.8,3,0.7,80.3,0,0.8,0
-0.9,6.5,0,3.7,0.4,68.3,7.9,1,0
1.2,10.2,0,3,0.8,60,6.6,0.5,0
2.3,11.8,0.3,1.8,0.3,56.5,5,1,0
2.4,4.6,10.3,3.2,0.7,83,0,1.1,0
0,6.3,0,3.3,0.7,47.8,7.8,0.4,0
-2.5,5.2,0,1.7,0.2,59.8,9.2,0,0
-0.8,2.4,0,6.5,1.9,63,0.3,-0.1,0
-3.7,0,0,6,2.8,37.8,7.9,-1,0
-6.3,-0.6,1,4.8,1.9,60,4.9,-1.3,0
-7.4,-4.4,2.7,9.3,3.6,40,8.4,-1.1,0
-10.4,-7.7,0.2,8.3,2.5,40,5.7,-2.6,0
-12.1,-7.4,0,6.3,2,39.5,7.4,-4.6,0
-10.7,-3.3,0,4.5,1.4,58.8,9.5,-4.5,0
-6.8,2.4,0,3.7,1.2,57.5,9,-2.6,0
-1.2,4.8,0,3.8,1,64.8,6.5,0.4,0
2,7.2,3.8,4,0.7,79.5,1.8,0.6,0
3,6.8,0,5,2,55,9,2.2,0
-0.4,6.7,0,3.7,0.7,44,9.6,0.7,0
0,7.4,0,3.7,1.1,51.3,9.1,1.2,0
2.8,9.2,0,3.8,1,53.8,7.5,2.8,0
1.1,11,0,2.5,0.4,60.8,8.3,1.3,0
4.2,14.8,0,4,0.4,62,8,3.7,0
4.9,15,0,3,0.5,69.8,8.6,4.5,0
4.2,9.8,0,5,1.4,61.5,4.6,4,0
1.6,3.6,13,3.5,1.7,78.3,0,2,0
1.1,3,2.3,2.3,0.6,83.8,0,2.2,0
1.8,4.6,11.5,1.8,0.2,78.3,0,2.6,0
3.7,8,1.1,2.3,0.4,73,0,3.8,0
4.6,10.8,0,4.3,1,54.3,9.6,4.7,0
2.1,8.6,0,5,1.4,59.3,5.2,3.8,0
0.7,5.9,0,6.8,1.5,35.5,9.9,2.6,0
1.2,7.4,0,5,1.8,64.3,3.5,3,0
1.5,3.4,0.7,3.8,1.6,77,0,2.4,0
2,9.4,0,4,1.4,45.3,9.5,3.6,0
3.7,12.4,0,4.7,0.8,55.3,9.2,3.5,0
8.1,18.4,0,4,0.8,58,8.6,7.2,0
9,12.8,0.8,3.5,1.1,78.5,0,8.1,0
4.9,7.9,0,5.7,1.7,45.8,2.9,6.5,0
5.2,11.1,0,3.2,1.4,50.5,2.1,5.8,0
7.8,18,0,4.7,1,55.8,9.5,8.3,0
9.7,18.4,0,5,1.1,53,8,10.9,0
12.7,19.8,0,5,0.9,53.5,7.4,12.7,0
7.8,15.1,8.7,7.7,2.4,59,8,10.3,0
4,6,7.4,3.2,2,80.5,0,6.6,0
5.5,10.3,0.3,2,0.4,68.3,1.9,7.7,0
7.1,11,0,4.7,1.2,62.8,1.1,7.8,0
6.6,11.3,0,6,2.1,52.5,8.1,9.2,0
1.8,7.8,0.2,7.3,2.3,49.5,10.1,6.4,0
1.8,8.3,0,3.3,1.1,53.8,11.1,7.8,0
4.1,11.8,0,4.5,1.3,48.8,10.9,8,0
7.2,15.8,0,5,1.2,50.3,9,11,0
7.4,17.3,0,3.8,1,48,10.3,10.4,0
8.9,19.2,0,4.2,0.9,45,10.6,9.8,0
13.1,22.2,0,5.5,1,47.3,7.7,13.7,0
13.7,23,0,3.7,1.2,38.3,10.5,15.8,0
12.7,23.6,0,3.3,0.9,45.5,10.6,12.8,0
14.9,25.3,0,4.7,0.8,46.8,10.1,17.5,0
14.3,22.6,0,3.7,0.6,58.5,1.5,12.9,0
16.6,24.1,0,4.7,1.4,48.8,3.6,15.5,0
16.4,22.2,10,6.7,1.7,49.8,0.3,16.2,0
